sku,weight (kg),length (cm),width (cm),height (cm)
9725B003,3.2,,28,36.64
9392B003,6.1,,,
9017B003,35,,46.9,12
9548B007,60,,,
9577B004AA,,,,
9576B001AA,60,,,
2646C003,27,3,21.6,23.1
2223C011,50,127,76.2,
3259C003,2.6,,30,22
3258C003,2.8,,30,22
3151C003,20,,48,31.5
3149C003,20,,48,31.5
3150C003,20,,48,31.5
4044C003,3.3,35.6,21.6,24.2
8746B008,8.5,,59,15.9
0958C028,12.1,,46.3,32
0971C028,64,,46.3,35.1
0960C028,11.4,,46.3,29.1
2719C021,52,482.6,330.2,
2720C021,52,482.6,330.2,88
0958C008,,,,
3110C008,64,,40.3,16.6
1418C111,60,,39,36
0617C042,,,,
2316C024,,,,
3101C022,,,,
3101C034,,,,
2925C033AA,60,,39,37.5
2219C021AA,8.9,,37.2,25.5
1255C003,27,35.6,21.6,23
0651C003,2.8,,29.1,23.1
C11CF66001A4,67,,91.5,59
C11CC25002,5.11,,36,22
C11C376125,0.01119,,32.2,46.5
C11CC24032,5.2,,36,21.5
C11CC25001,0.00511,,22,36
C11C480141,,,80,
C31C514007A3,3.8,,25,24.3
C11CF37402,8.91,,45,28
C11CF37403A1,,,80,
C11CF38403,,,136,
C11CF39402A1,9.28,,4,8
C11CF39403,8.91,,44.6,28.1
C11CF39401,0.008909,,28.1,44.6
C11CF40403,12.2,,45.1,29.5
B11B227401BY,3.7,,29.6,21.7
B11B249401BY,50,,29.7,15.4
B11B227401,,,,
B11B204131BY,18.5,,63.5,36
B11B204331BY,35,,74.5,53.4
B11B239401BY,50,,45.1,12
B11B244401BY,,,45.1,12
B11B228401BY,27,,29.6,17.6
C31C518052,5.04,,24,25
C31C246012,7.4,,33.2,28.5
C33S045701,31.9,,52,23
C11CE21301,0.01918,,41,49
C11CE22301BX,0.02606,,39.6,52.3
C11CD81404BY,12.2,,,21.5
C11CE90401,,,,
C11CD49301BS,,,,
C11CD47301BS,64,,47.8,106
C11CF46401,4.6,,44.5,16.9
C11CE20001A0,311.4,,107.5,113.5
C11CE85301DA,16.1,,53,35
C11CG43402,0.010478,,24,44.5
C11CG43401,8.5,,47.9,15.9
C11CG21401CA,60,,37.5,18.7
C11CG69401BY,64,,61.3,49.3
C11CG68401BY,64,,61.3,49.3
C11CG70401BY,64,,61.3,38.6
C11CG85401,5,,37.5,23.7
C11CG26402BY,,,,
C11CG91402BY,64,,,
C11CG95402BY,,,,
C11CG96402BY,,,,
C11CG22403CA,64,,37.5,18.7
C11CH25401DA,,,,
C51CB11030,2,Yes,10,10
C31C514057A0,4.06,,24,25
C31CD84312,43.5,,57,53.5
C31CD84012,43.5,,57,53.5
C31CC79421,1.56,,19.7,17.9
C31C412465,2.8,,19.3,24
C51CD69130,0.001508,,8.8,21
C31CE74101A0,1.67,,19.5,17.5
C51CD06200,0.00217,,21,16
C31CH77202,,,,
C51CD69200,0.001385,,21.3,8.4
C11CF11301A1,,,,
C11CF12302A1,45.5,,73,65.5
C11CF86301A1,114,,82,113
C11CF85301A1,98.5,,82.5,113
C11CF11302A1,,,,
C11CH13301A1,153.8,,190.9,121.8
C11CC65011BY,16.1,,52,45.5
C31CE14021A0,1.6,120,80,102
B11B242401BY,1.94,,14,12
C11CD49301BY,31,,51.6,51.4
C11CG02401,0.0224,,49,53.5
C11CG03401BY,64,,42.5,35.7
C11CG05401BY,64,,42.5,35.7
C11CG06401BY,64,,42.5,35.7
C11CG02401BY,64,,,
C11CE85301,0.016120000000000002,,35,53
C31CE14552A0,1.5,,19.9,14.7
C31CE14552,1.47,,19.9,14.7
C31CA85033A0,2.5,,19,23
C31CA85050,1.98,,19.5,23.6
C31CD70752,1.59,,19,17.2
C31CD70321A0,1.68,,19.6,17.3
C31CF69321,0.007188,,31.5,30
C31CF69301,0.0072,,30.5,29.7
C31CF70321,0.007867,,31,35.5
C31CE94121A0,2.62,,19.5,23.5
C31CG62204,5.47,,29.4,28.5
C31CG62111,6.25,,29.5,29.4
C31CG62213,5.67,,29.4,29.2
C31CG62214,5.64,,29.7,29.4
C31CG62101,6.21,,29.7,29.1
C31CG62203,5.52,,29.3,28.7
C31CE74122,,,,
C31CE95142,2.24,49,58,25.5
C31CE95141,2.23,,19.2,23.1
C31CE95141A0,1.3,,8,12.7
C31CE95142A0,,,,
C31CE74122A0,1.57,,19.7,18
C31CH51012,2.49,,19.2,28
C31CH51012A0,2.2,,19.2,28
C31CA85012A1,,,,
C31C514007,3.82,,30,21.5
C31C513057,4.3,,24,25
C31C517007,4,,25,24.2
C31C515052,3.86,,24,25
C31CD38032A0,,120,7.95,181.6
C31CA85012,,100,8,2.04
C31CA85813,2.56,,20,23
C31CA85833,2.56,100,79.5,2.04
C31CA85042,2.62,120,80,199
C31CA85051,2,120,80,2.55
C31CA85052,2.02,,19.3,23.6
C31CA85041,,120,80,2.55
C31CA85031,,120,80,2.55
C31CA85041A0,1.6,,8,14.8
C31C249012,7.42,,33.2,28.5
C31C514007A0,3.99,,24,25
C31C176252,6.42,,35.5,32
C31C151283,7.2,,36,33
C11CA13051,8.49,,38,29
C31CA85835,,,,
C13S045302,9,,14,14
C51C540080,,120,3.6,2.71
C31CA85032,2.56,,19.3,23.6
C31CA85082,,120,80,2.55
C31C514057BD,4.8,,23.5,29.3
C31C412412,2.8,,19,24
C31CA85954,,120,80,199
C31CD38024B0,,120,8,181.6
C31CA85953,2.54,120,80,199
C31CA85321A0,,120,8,2.55
C31C412652A0,3,,19.5,24
C31CA85044A1,2.56,,20,23.5
C31CD38972,,120,8,181.6
C31CD38972A0,2.86,,19.4,25
C31CE14021,,120,5.8,102
C31CE95112,2.03,,19.4,23.2
C31CE95121A0,2.4,,19,23
C31CE95121B1,,120,8,2.01
C31CE95112A0,2.04,,19,23
C31CE95122A0,,120,58,2.01
C31CE95111A0,,120,58,2.07
C31CE95122B1,,120,8,2.01
C31CD38025B2,2.76,,19,23.5
C31CE94112A0,,120,80,15
C31CE94102,,120,8,15
C31CE94551,2.62,,19.5,23.5
C31CE94102A0,2.66,,19.5,23.5
C31CE94551A0,,120,80,2.03
C31CE94111A0,2.64,120,8,2.03
C31CD70652A0,1.64,,19.5,17.2
C31C514057BE,3.82,,30,22
C31CD38024C0,2.88,,18.9,23.8
C31CD38024C1,2.8,,19,24
C31CD38025C0,2.86,,19,23.5
C31CE94751,2.62,,19.5,23.5
C31CE74112,1.61,,19.7,17.9
B11B252402,0.000553,,6.5,14
B11B253402,0.000597,,6.7,14.1
B11B250401BY,27,,29.6,16.7
B11B226401,0.004678,,28.5,25
C11CG15401CE,,,,
C11CG16401CE,10.5,,52.6,16.8
C11CG20401CA,4.7,,37.5,23.1
PA03643-B001,64,,28.4,7.7
PA03670-B001,27,,30,16.3
PA03670-B051,27,,30,16.3
PA03670-B501,27,,30,23.4
PA03670-B551,27,,30,23.4
PA03595-B001,0.9,,14.5,4
PA03575-B061,20,,46,31
PA03688-B001,52,,27.3,3.6
PA03706-B001,,,,
PA03708-B021,50,,29.8,13.3
PA03708-B001,50,,29.8,13.3
PA03708-B011,50,,29.8,13.3
PA03670-B601,27,,30,23.4
PA03670-B101,27,,30,16.3
PA03641-B301,3,,21,38.3
PA03710-B051,27,,38,16.8
PA03750-B001,127,,29,13
PA03740-B001,20,,70,34.5
PA03740-B501,20,,23.6,21.4
PA03768-B001,27,5.59,21.6,17
PA03770-B001,3.4,3,29.2,15.2
PA03800-B001,20,5.59,46,31
PA03795-B001,2,5.59,29.6,8.3
40CC150,41.9,,64.3,56.8
36S0208,15.8,,43,37.6
36S0308,16,,43,37.6
36S0508,18.1,,43,42.2
50G0225,29.9,,55,56.5
50G0945,29.9,,55,56.5
36SC550,17.8,,43,42.2
36SC549,,,,
42C0043,9.3,,,
42C0093,23.9,,,59.4
42CC173,23.8,,49.5,40.2
40N9113,60,,,
40C9587,64,,70,95.5
32C0248,60,,,
36S0708,,,,
36S0828,,,,
36S0908,26.6,,55.2,68.2
36SC648,60,,,
36SC728,60,,,
42C7693,,,,
42C7373,90.3,,44.2,46.2
42C7343,30.5,,55.8,57
42CC593,31.2,,55.8,57
42CC443,90.3,,44.2,46.2
18M0730,60,,,
40N9163,22.7,,44,51.9
40N9153,22.7,,44,51.9
KV-S1026C-U,20,,,
KV-S8147-M,20,,54.5,43.5
KV-S8127-M,20,,54.5,44.5
KV-SL3056-U,20,,30,30.8
KV-S1037-U,20,,30.3,13.7
KV-S1028Y-U,20,,30,23.8
KV-N1058X-U,20,,30,23.8
C600V_N,33.8,,58,60.7
C7020V_DN,60,,59,76.78999999999999
C7020V_D,60,,59,76.78999999999999
872491-B21,,,,
P04564-B21,,,,0.7
P04693-B21,,,,
870759-B21,,,,
870757-B21,,,,
861691-B21,,,,
870753-B21,,,,
861686-B21,,,,
861683-B21,,,,
861681-B21,,,,
861678-B21,,,,
869347-B21,,,,
843266-B21,,,,
858594-B21,,,,
857644-B21,,,,
846514-B21,,,,
861590-B21,,,,
832514-B21,,,,
801882-B21,,,,
791034-B21,17.6,,2.98,0.614
785099-B21,15.9,,3.1,0.63
801888-B21,,,,
801884-B21,,,,
785079-B21,,,,
818365-B21,,,,
818367-B21,,,,
793695-B21,,,,
819201-B21,,,,
832512-B21,,,,
718162-B21,15.9,,7,9
759208-B21,,,2.98,0.614
781518-B21,,,,
785067-B21,,,,
718160-B21,15.9,,7,9
765424-B21,,,,
781516-B21,,,,
765455-B21,,,,
737261-B21,1.360776,,4.17,1.06
765466-B21,,,,
737394-B21,,,4.17,1.06
765453-B21,,,,
748387-B21,,,,
652564-B21,,,,
652583-B21,15.9,,2.98,0.614
655710-B21,1.360776,,1.04,7.25
652589-B21,25.6,,2.98,0.614
657750-B21,0.006,,2.6399999999999997,18.419999999999998
627117-B21,25.6,,,
658079-B21,1.360776,,1.04,7.25
652757-B21,25.6,,4.17,1.06
652753-B21,25.6,,4.17,1.06
659341-B21,1.36,,2.6399999999999997,18.419999999999998
655708-B21,1.360776,,1.04,7.25
628061-B21,1.360776,,4.16,1.06
695510-B21,,,,
652766-B21,25.6,,4.17,1.06
693689-B21,,,,
652749-B21,25.6,,2.98,0.614
652745-B21,25.6,,2.98,0.614
507127-B21,,,,
605835-B21,,,,
625609-B21,1.360776,,2.84,0.63
507750-B21,1.36,,7.220000000000001,1.6
507616-B21,1.360776,,4.36,1.04
625031-B21,1.360776,,4.36,1.04
619291-B21,15.9,,7,4.63
500205-071,,,,
627814-B21,,,,
713756-081,,,,
647903-B21,,,,
715274-001,,,,
715275-001,,,,
715284-001,,,,
752372-081,,,,
343057-B21,,,,
684031-001,,,,
462975-001,,,,
500209-562,,,,
669239-081,,,,
500203-061,,,,
595096-001,,,,
752367-081,,,,
AT913AA,,,,
664693-001,,,,
593911-B21,,,,
628974-081,,,,
713985-B21,,,,
408853-B21,,,,
495604-B21,,,,
647885-B21,0.45,,,
672612-081,,,,
713754-071,,,,
669324-B21,,,,
647903-B21B,,,,
708639-B21R,,,,
647901-B21B,,,,
405477-061,,,,
432670-001,,,,
381819-001,,,,
413384-001,,,,
416107-001,,,,
416473-001,,,,
GJ653AA,,,,
398708-061,,,,
405478-071,,,,
359241-001,,,,
726717-B21,,,,
500668-B21,,,,
501539-001,,,,
500208-061,,,,
fx698aa,,,,
FX698ET,,,,
300699-001,,,,
846740-001-MOQ-24,,,,
819413-001,,,,
819411-001,,,,
752369-081,,,,
819411-001-MOQ-24,,,,
500202-061,,,,
500656-B21,,,,
501533-001,,,,
500658-B21,,,,
501534-001,,,,
836220-B21,,,8.89,1.9100000000000001
846740-001,,,,
Z4Y85AA,,,6.779999999999999,0.24500000000000002
682412-001,,,,
Z4Y84AA,,,,
805351-B21B,0.45,,8.89,1.9100000000000001
713984-B21,,,,
P00922-B21B,0.045,,19.05,8.89
633543-001,,,,
708643-B21,,,,
726718-B21,0.45,,,
774170-001,,,,
708641-B21B,,,,
805353-B21,0.45,,8.89,1.9100000000000001
819414-001,,,,
728629-B21,,,,
774175-001,,,,
726722-B21,,,,
672633-B21,,,,
688963-001,,,,
726720-B21,0.45,,8.89,1.9100000000000001
805351-B21,,,8.89,1.9100000000000001
819412-001,,,,
726719-B21,0.45,,8.89,1.9100000000000001
774172-001,,,,
647901-B21,,,,
500662-B21,,,,
501536-001,,,,
647897-B21,,,,
P00924-B21,0.045,,19.05,8.89
647899-B21,,,13.330000000000002,3
672631-B21,,,,
708641-B21,,,,
647909-B21,,,,
664696-001,,,,
606427-001,,,,
647877-B21,,,,
647893-B21,,,,
735303-001,,,,
805667-B21,0.34,,8.89,1.9100000000000001
RP000120881,,,,
RP000609089,,,,
RP000348805,,,,
632202-001,,,,
731657-081,,,,
606425-001,,,,
774172-001B,,,,
RP000120955,,,,
397411-B21,,,,
455442-001,,,,
604504-B21,,,,
664688-001,,,,
687465-001,,,,
713981-B21,,,,
RP000126708,,,,
820077-B21,0.00034,,0.889,0.191
RP000110893,,,,
RP000635080,,,,
500210-071,,,,
500672-B21,,,,
504351-B21,,,,
715273-001,,,,
819880-B21,0.34,,,
RP000105081,,,,
408855-B21,,,,
413015-B21B,,,,
633542-001,,,,
664689-001,,,,
862974-B21,,,13.330000000000002,3.1
NT1GT64U8HB0BN-3C,,,,
RP000125643,,,,
664690-001,,,,
684035-001,,,,
761501-B21,,,,
805669-B21,0.34,,8.89,19.81
RP000131298,,,,
RP001230567,,,,
RP001230903,,,,
RP001225392,,,,
RP001227413,,,,
RP001225393,,,,
RP001227406,,,,
RP001227412,,,,
RP001229343,,,,
RP001230702,,,,
RP001227387,,,,
RP001227411,,,,
RP001229010,,,,
432668-001,,,,
815097-B21,0.0045,,13.330000000000002,3.1
835955-B21,0.045,,,
815101-B21,,,,
815098-B21,,,13.330000000000002,3.1
850881-001,,,,
835955-B21B,,,,
838079-B21,,,,
838089-B21,,,,
595094-001,,,,
655410-150,,,,
497767-B21,,,,
397413-B21,,,,
879505-B21,,,,
879507-B21,,,,
466440-B21,,,,
408854-B21,,,,
P00930-B21,0.045,,19.05,8.89
P00920-B21,0.045,,19.05,8.89
P00926-B21,0.045,,19.05,8.89
P00922-B21,0.045,,19.05,8.89
J9P82AA,,,,
H6Y77AA,,,,
B4U39AA,,,0.38,6.76
RP001233704,,,,
413015-B21,,,,
805349-B21,0.45,,13.330000000000002,3.1
P19041-B21,,,,
708639-B21,,,,
731765-B21,,,,
805349-B21B,0.045,,8.89,1.9100000000000001
669320-B21,,,,
726719-B21B,0.045,,8.89,1.9100000000000001
1XD85AA,,,,
398709-071,,,,
3PL82AA,,,,
3TK85AT,,,,
3TK85AA,,,,
4VN06AA,,,,
4VN05AA#AC3,,,,
500658-B21B,,,,
595424-001,,,,
664691-001,,,,
H6Y75AA,,,,
Z9H57AA,,,,
Z9H60AT,,,,
Z9H55AA,,,,
500662-B21B,,,,
Z9H59AA,,,,
752370-091,,,,
647907-B21,,,13.330000000000002,3
500656-B21B,,,,
604502-B21,15.9,,,
815098-B21R,,,5.25,1.22
593915-B21,,,,
712384-081,,,,
500660-B21,,,,
604506-B21,0.45,,8.89,
669322-B21,,,,
593339-B21,0.45,,8.89,1.9100000000000001
690802-B21,,,,
WDS240G2G0A,0.0322,,6.9799999999999995,0.7
WDS120G2G0A,0.032100000000000004,,10.05,6.9799999999999995
WD8003FRYZ,,,,
WDBVXC0020HWT-EESN,0.96,,5.3,17.55
WDBVXC0030HWT-EESN,1.03,,5.3,17.55
WDBVXC0080HWT-EESN,1.03,,5.3,17.55
WD121KRYZ,,,,
WDBMUT0080JWT-EESN,2.4,,10.2,17.9
WDBMUT0160JWT-EESN,,,,
WDBMUT0120JWT-EESN,2.4,,10.2,17.9
WDBMUT0040JWT-EESN,2.29,,10.2,17.9
WDBMUT0060JWT-EESN,2.39,,10.2,17.9
WDBFKT0040BGD-WESN,,,,
WD1500HLHX,0.489,,10.16,2.6100000000000003
WD7502ABYS,0.69,,10.16,2.54
WD360GD,0.73,,,
WD7500AYYS,0.073,,10.16,2.6100000000000003
WD80PURX,,,,
WDS100T2B0A,,,2.8,0.3
WDS250G2B0B,0.007,,2.2,0.238
WDS500G2B0A,0.037399999999999996,,6.9799999999999995,0.7
WDS200T2B0A,,,2.8,0.3
WDS500G2B0B,0.007,,2.2,0.238
WDBFBE0060JBK-EESN,,,,
WDS200T2B0B,,,0.9,0.1
WDS250G2B0A,0.037399999999999996,,6.9799999999999995,0.7
WD4003FFBX,,,,
WD6003FFBX,,,10.16,26.1
WD20SPZX,0.09,,6.9799999999999995,0.7
WDS240G2G0B,0.00651,,2.2,0.15
WDS120G2G0B,0.00646,,2.2,0.15
WDBEPK5000ABK-WESN,0.23,,8.16,2.1
WDBJRT0020BBK-WESN,,,8.15,2.1
WDBAMJ0010BGY-EESN,,,,
WDBLPG0020BBK-WESE,0.17,,8.15,1.6300000000000001
WDBAMJ0020BGY-EESN,,,,
WD4005FZBX,,,4,1
WD6003FZBX,,,4,1
WDBZGE0040BBK-WESN,,,,
WDBWLG0060HBK-EESN,,,,
WDBKVX0020PSL-WESN,,,,
WDBBGB0100HBK-EESN,0.96,,4.9,17.06
WD80EFAX,,,4,1
WD8003FFBX,,,,
WD10PURX,,,4,1
WD20PURX,,,,
WDBWLG0080HBK-EESN,,,,
WD121PURZ,,,4,1
WD101PURZ,,,,
WD5000LQVX,0.095,,6.9799999999999995,0.6799999999999999
WDBWLG0100HBK-EESN,,,,
WD141KRYZ,,,4,1
WD101EFAX,,,,
WD6003FRYZ,,,4,1
WD102KRYZ,,,4,1
WD4003FRYZ,,,4,1
WD8004FRYZ,,,4,1
WD140EFFX,,,4,1
WD20EZAZ,0.45,,10.16,2.6100000000000003
WDBFBE0280JBK-EESN,,,10,18
WDBPMV0050BSL-WESN,,,,
WDBU6Y0050BBK-WESN,0.23,,8.2,2.1
WDBBGB0140HBK-EESN,1,,4.9,17.06
WDBA2D0020BBL-WESN,,,3,0.4
WDBPKJ0040BBK-WESN,,,3,0.8
WDBPKJ0040BRD-WESN,,,3,0.8
WDBYVG0020BBL-WESN,,,3,0.4
WDBYVG0020BRD-WESN,,,3,0.4
WDBPKJ0040BBL-WESN,,,3,0.8
WDBYVG0020BBK-WESN,,,3,0.4
WDBPKJ0050BBK-WESN,,,3,0.8
WDBA2F0040BBL-WESN,,,3,0.8
WDBA2W0020BBK-WESN,,,3.5,0.5
WDBA3A0040BBK-WESN,,,3.5,0.8
WDBA5G0050BBK-WESN,,,3.5,0.8
WDBA3A0050BBK-WESN,,,,
WDBA5E0120HBK-EESN,,,,
WDBA5G0030BBK-WESN,,,3.5,0.8
WDBA3P0080HBK-EESN,,,,
0B42258,0.75,,10.16,14.7
WD120EFAX,,,,
WD20EFAX,0.06,,10.16,2.6100000000000003
WDS400T2B0A,0.0597,,6.9799999999999995,10.02
WDS480G1G0A,,,,
WD82PURZ,,,4,1
WDBWLG0120HBK-EESN,,,,
WDBBGB0120HBK-EESN,,,,
WDS200T3X0C,0.0075,,8,0.238
WDS500G3XHC,0.0075,,2.2,0.238
HUH721212ALE600,0.66,,10.16,2.6100000000000003
WD60EFAX,,,4,1
WD60EZAZ,,,,
WDS100T3X0C,,,0.9,0.1
WDS250G3X0C,0.0075,,2.2,0.238
WDS500G3X0C,0.0075,,2.2,0.238
0B40358,0.175,,7.01,1.5
0B40366,0.175,,7.01,1.5
WDS480G2G0A,0.0327,,10.05,0.7
WDS480G2G0B,0.00652,,8,0.15
0B40362,0.175,,7.01,1.5
WDBC3C0020BSL-WESN,,,3.2,0.5
WDBC3C0010BSL-WESN,,,8.16,10
WDBFTM0040BBL-WESN,,,3.2,0.8
WDBFTM0040BSL-WESN,,,,
WDBC3C0020BBL-WESN,,,3.2,0.5
WDBKYJ0020BSL-WESN,,,3.2,0.5
WDBPMV0040BSL-WESN,,,3.2,0.8
WDBU6Y0030BBK,,,,
0F31052,,,,
0B36047,,,4,1
0F29530,,,,
WDS100T2G0A,,,2.8,0.3
WDBMCG0010BBT-WESN,,,,
0TS1618,0.095,,6.9799999999999995,0.7
0B40326,0.175,,7.01,1.5
WDBU6Y0040BBK-WESN,,,,
WD10SPZX,0.09,,6.9799999999999995,0.7
WD30PURZ,,,,
WD40PURZ,,,4,1
WD10PURZ,0.65,,10.16,2.6100000000000003
WD20PURZ,0.65,,10.16,2.6100000000000003
WDBU6Y0020BBK-WESN,,,,
WDBU6Y0030BBK-WESN,,,,
WDBUZG7500ABK-WESN,0.13,,8.2,1.5
WDBUZG0010BBK-WESN,,,,
WDBBGB0060HBK-EESN,,,,
WDBBGB0040HBK-EESN,1,,4.9,17.06
WDS120G1G0A,1.13,,2.75,0.276
WDS240G1G0A,0.032,,6.9799999999999995,0.7
WDBYNN0010BYL-WESN,0.17,,11,1.6300000000000001
WDS120G1G0B,0.00646,,2.2,0.223
WDS240G1G0B,0.00651,,2.2,0.223
WDBBGB0080HBK-EESN,,,,
WDS500G1B0A,1.32,,2.75,3.96
WDBYNN0010BBK-WESN,,,,
WDS250G1B0A,0.037399999999999996,,6.9799999999999995,10.05
WDBBGB0030HBK-EESN,0.96,,4.9,17.06
WD1005FBYZ,,,4,1
WD2005FBYZ,,,4,1
WDBBCL0160JBK-EESN,,,,
WDBNFA0160KBK-EESN,,,,
WDBNFA0000NBK-EESN,,,,
WD2002FFSX,,,4,1
WDBVBZ0160JCH-EESN,,,,
WD5000AURX,,,,
WD10EZRZ,0.45,,10.16,2.6100000000000003
WD5000AZRZ,0.45,,10.16,2.6100000000000003
WD60EZRZ,,,4,1
WD40EZRZ,,,4,1
WD20EZRZ,,,4,1
WD30EZRZ,,,4,1
WD3200LPCX,3.17,,2.75,0.276
WD5000LPCX,0.09,,6.9799999999999995,0.7
WD3200LUCT,0.09,,6.9799999999999995,0.6799999999999999
WD5000AZLX,0.45,,10.16,2.54
WDBVBZ0040JCH-EESN,,,,
WDBVBZ0120JCH-EESN,,,,
WDBU6Y0030BBK-EESN,0.23,,8.2,2.1
WDBWZE0000NBK-EESN,,,,
WD5000LPLX,0.092,,6.9799999999999995,10.02
WD3200LPLX,0.092,,6.9799999999999995,10.02
WD2500LPLX,0.092,,6.9799999999999995,10.02
WDBHDK5000ABK-EESN,0.14809999999999998,,8.27,1.86
WDBWLG0040HBK-EESN,0.95,,4.8,16.580000000000002
WD60PURX,,,4,1
WD10JFCX,,,2.8,0.4
WD7500BFCX,4.06,,2.75,0.374
WD40EFRX,,,,
WD1003FZEX,,,4,1
WD2003FZEX,,,4,1
WD5000LPVX,3.17,,2.75,0.276
WD3001HKHG,0.49,,10.16,26.1
WDBUZG0010BBK-EESN,,,,
WDBU6Y0020BBK-EESN,,,,
WDBGLG0020HBK-EESN,,,,
WD10JUCT,0.06985,,12,0.95
WD2500BHTZ,,,,
WD1000DHTZ,,,4,1
WD10EZEX,0.45,,10.16,2.54
WD5003AZEX,0.43,,10.16,2.6100000000000003
WD3000BLHX,,,,
WD10EURX,0.6,,10.2,2.61
WDBHDK0010BBK-EESN,0.1845,,8.27,1.86
WD40PURX,,,4,1
WD30PURX,,,,
WD20EURX,,,,
WDBMYH0010BNC-ERSN,,,,
WDBSLA0040HNC-ERSN,,,,
WD2503ABYZ,0.45,,10.16,2.6100000000000003
WD1003FBYZ,,,4,1
WD5003ABYZ,,,4,1
WD2000F9YZ,,,4,1
WD10EFRX,0.45,,10.16,2.6100000000000003
WD30EFRX,,,,
WD2503ABYX,0.73,,10.16,2.54
WD1500HLFS,0.489,,10.16,2.6100000000000003
WD5000LUCT,0.698,,6.8,0.6799999999999999
WD102KFBX,0.75,,10.16,14.7
WD30EFAX,0.64,,10.16,2.6100000000000003
WD40EFAX,,,5.8,1
WDS100T2B0C,0.0065,,2.2,0.238
WDS500G2B0C,0.0065,,2.2,0.238
WDS250G2B0C,0.0065,,2.2,0.238
WD141KFGX,,,4,1
WDS400T1R0A,0.0579,,6.9799999999999995,0.7
WDS500G1R0A,0.037399999999999996,,6.9799999999999995,0.7
WDS500G1R0B,0.007,,2.2,0.238
WDS100T1R0A,1.32,,2.75,0.276
WDS100T1R0B,0.007,,2.2,0.238
WDS200T1R0B,,,,
WDS200T1R0A,,,,
WD102PURZ,,,,
WD140PURZ,,,,
WDBS4B0020BWT-EEEX,0.17,,8.15,2.15
WDBYFT0030BOR-EEEX,,,,
WDBYFT0040BWT-EEEX,,,,
WDBS4B0020BOR-EEEX,0.17,,8.15,2.15
WDBYFT0030BBK-EEEX,,,,
WDBYFT0040BBL-EEEX,,,,
WDBYFT0040BRD-EEEX,,,,
WDBS4B0020BBL-EEEX,0.17,,8.15,2.15
WDBS4B0020BYL-EEEX,0.17,,8.15,2.15
WDBYFT0030BWT-EEEX,,,,
WDBYFT0030BYL-EEEX,,,,
WDBYFT0030BRD-EEEX,,,,
WDBYFT0040BYL-EEEX,,,,
WDBYFT0040BOR-EEEX,,,,
WD10SPSX,,,2.8,0.3
WDS960G1D0D,,,,
WDS192T1D0D,,,,
WDS200T2G0A,0.0327,,6.9799999999999995,0.7
ST32000644NS,,,,
ST9300653SS,7.05,,2.76,0.591
ST9900805SS,7.23,,2.76,0.591
ST9300605SS,7.44,,2.76,0.591
ST9600205SS,2.47,,,0.591
ST1000NM0001,22.6,,4.01,1.03
ST91000640SS,,,,
ST9250610NS,0.179,,7.01,1.5
ST9500620NS,,,2.8,0.6
ST3500413AS,14.6,,4,0.787
ST9146852SS,,,2.8,0.6
ST300MM0026,0.217,,7.01,1.5
ST2000NM0024,,,,
ST4000NM0034,,,,
ST200FM0012,,,7.01,0.7
ST1200MM0017,,,,
ST3300657SS,,,4,1
ST3600057SS,,,4,1
ST2000NM0023,,,4,1
ST5000NM0084,,,,
ST3750640NS,0.72,,10.16,2.6100000000000003
ST1000NX0323,,,2.8,0.6
ST2000NX0253,,,2.8,0.6
ST1000NX0313,,,,
STEA500400,,,,
STEA4000400,,,,
ST3500320NS,0.518,,10.16,2.6100000000000003
ST8000NM0055,,,,
ST1000NX0423,,,2.8,0.6
ST1000NX0453,,,2.8,0.6
STDR4000901,0.247,,7.8,2.05
ST10000NM0016,22.9,,4.01,1.03
STEA4000402,,,3.2,4.6
STEH1000200,0.136,,7.6,0.96
ST2000NM0135,,,,
ST2000NM0045,,,,
ST1000NM0045,,,,
ST4000NM0035,,,,
ST4000NM0025,,,,
ST6000NM0115,,,,
ST500DM009,,,4,0.8
ST10000VN0004,,,4,1
ST10000VX0004,,,,
ST900MM0168,,,,
STEL4000200,,,,
STEL8000200,,,,
STEL6000200,,,,
ST3000VX010,,,,
ST3000VN007,,,,
ST6000VX0023,,,,
ST1000DM010,,,4,0.8
ST4000VN008,,,,
ST8000VX0022,,,,
ST1000VN002,,,,
ST2000VN004,,,,
ST2000VX008,,,4,1
ST4000VX007,,,,
ST6000DM004,27.5,,4,1.03
ST1000VX005,,,4,0.8
ST2000LM015,,,2.8,0.3
ST5000LM000,,,,
ST1000LX015,0.092,,6.9799999999999995,0.7
ST500LX025,,,2.8,0.3
ST1000LM048,,,2.8,0.3
ST500LM030,,,2.8,0.3
ST2000LX001,0.096,,6.9799999999999995,0.7
ST4000LM024,,,2.8,0.6
ST3000LM024,,,2.8,0.6
ST300MM0048,,,2.8,0.6
XF1230-1A0480,0.085,,6.9799999999999995,0.7
ST600MP0136,,,2.8,0.6
ST300MP0106,,,2.8,0.6
STDR5000203,0.409,,10.5,4.3
STDR5000202,0.409,,10.5,4.3
ST2000NE0025,0.55,,10.18,2.6100000000000003
ST1000NM0008,,,4,1
ST2000NM0008,,,4,1
ST4000NM0014,,,,
ST4000NM003,,,,
ST4000DM004,,,,
ST12000VE0008,,,,
ST14000VE0008,,,4,1
STHP5000403,12.2,,4.17,1.77
STHP4000403,,,,
ZA1920NM10011,,,2.8,0.3
ZA240NM10011,0.077,,7.01,0.7
